1384031182.64 ['  File "uppir_vendor.py", line 409, in <module>\n    main()\n', '  File "uppir_vendor.py", line 375, in main\n    rawmanifestdata = open(_commandlineoptions.manifestfilename).read()\n']
1384031223.38 ready to start servers!
1384031223.39 servers started!
1384031233.36 UPPIRVendor 127.0.0.1 51229 manifest request
1384031233.38 UPPIRVendor 127.0.0.1 51230 mirrorinfo update 34
1384031236.15 UPPIRVendor 127.0.0.1 51231 manifest request
1384031236.17 UPPIRVendor 127.0.0.1 51232 mirrorinfo update 34
1384031238.87 UPPIRVendor 127.0.0.1 51233 manifest request
1384031238.89 UPPIRVendor 127.0.0.1 51234 mirrorinfo update 34
1384031243.57 UPPIRVendor 127.0.0.1 51235 manifest request
1384031243.59 UPPIRVendor 127.0.0.1 51236 mirrorlist request
1384031293.39 UPPIRVendor 127.0.0.1 51237 mirrorinfo update 34
1384031296.17 UPPIRVendor 127.0.0.1 51238 mirrorinfo update 34
1384031298.89 UPPIRVendor 127.0.0.1 51239 mirrorinfo update 34
1384031353.39 UPPIRVendor 127.0.0.1 51240 mirrorinfo update 34
1384031356.17 UPPIRVendor 127.0.0.1 51241 mirrorinfo update 34
1384031358.89 UPPIRVendor 127.0.0.1 51242 mirrorinfo update 34
1384031413.39 UPPIRVendor 127.0.0.1 51243 mirrorinfo update 34
1384031416.18 UPPIRVendor 127.0.0.1 51244 mirrorinfo update 34
1384031418.9 UPPIRVendor 127.0.0.1 51245 mirrorinfo update 34
1384031473.4 UPPIRVendor 127.0.0.1 51246 mirrorinfo update 34
1384031476.18 UPPIRVendor 127.0.0.1 51247 mirrorinfo update 34
1384031478.9 UPPIRVendor 127.0.0.1 51248 mirrorinfo update 34
1384031533.4 UPPIRVendor 127.0.0.1 51250 mirrorinfo update 34
1384031536.18 UPPIRVendor 127.0.0.1 51251 mirrorinfo update 34
1384031538.9 UPPIRVendor 127.0.0.1 51252 mirrorinfo update 34
1384031593.4 UPPIRVendor 127.0.0.1 51254 mirrorinfo update 34
1384031596.19 UPPIRVendor 127.0.0.1 51255 mirrorinfo update 34
1384031598.91 UPPIRVendor 127.0.0.1 51256 mirrorinfo update 34
1384031653.41 UPPIRVendor 127.0.0.1 51257 mirrorinfo update 34
1384031656.19 UPPIRVendor 127.0.0.1 51258 mirrorinfo update 34
1384031658.91 UPPIRVendor 127.0.0.1 51259 mirrorinfo update 34
1384031713.41 UPPIRVendor 127.0.0.1 51260 mirrorinfo update 34
1384031716.19 UPPIRVendor 127.0.0.1 51261 mirrorinfo update 34
1384031718.91 UPPIRVendor 127.0.0.1 51262 mirrorinfo update 34
1384031773.41 UPPIRVendor 127.0.0.1 51263 mirrorinfo update 34
1384031776.2 UPPIRVendor 127.0.0.1 51264 mirrorinfo update 34
1384031778.92 UPPIRVendor 127.0.0.1 51265 mirrorinfo update 34
1384031833.42 UPPIRVendor 127.0.0.1 51266 mirrorinfo update 34
